"rt","response","dr","drt","observed","subject","condition"
0.5491,1,FALSE,0,1,"s1","speed"
0.3282,1,FALSE,0,1,"s1","speed"
0.3192,0,FALSE,0,1,"s1","speed"
0.5527,1,FALSE,0,1,"s1","speed"
0.5145,1,FALSE,0,1,"s1","speed"
0.3775,1,FALSE,0,1,"s1","speed"
0.2966,1,FALSE,0,1,"s1","speed"
0.3315,1,FALSE,0,1,"s1","speed"
0.3311,0,FALSE,0,1,"s1","speed"
0.5122,1,FALSE,0,1,"s1","speed"
0.3092,1,FALSE,0,1,"s1","speed"
0.2929,1,FALSE,0,1,"s1","speed"
0.6511,1,FALSE,0,1,"s1","speed"
0.3789,0,FALSE,0,1,"s1","speed"
0.7438,1,FALSE,0,1,"s1","speed"
0.4614,1,FALSE,0,1,"s1","speed"
0.3493,0,FALSE,0,1,"s1","speed"
0.4158,1,FALSE,0,1,"s1","speed"
